ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,ramets,above1,above2,above,below1,below2,below,biomass,status
144,6,B,uninvaded,live,Churchill,3,3,0,,0.815,1.65,2.17,3.47,5.11,6.56,4.91,2,,,#DIV/0!,0.0081,0.0083,0.0082,NA,dead
145,17,B,uninvaded,live,CNSC,3,3,0,,0.92,1.645,2.835,4.24,dead,,-1.645,,,,,,,,NA,dead
146,17,A,invaded,sterile,CNSC,3,3,0,,0.515,0.75,dead,,,,-0.75,,,,,,,,NA,dead
147,15,A,invaded,sterile,Churchill,3,3,2,0.2,0.655,1.555,2.38,3.54,5.245,5.94,4.385,3,0.0146,0.0147,0.01465,0.0027,0.0035,0.0031,0.01775,alive
148,11,A,invaded,live,airport,3,3,2,0.24,1.12,3.19,6.15,8.625,11.365,13.19,10,4,0.141,0.1406,0.1408,0.0331,0.0327,0.0329,0.1737,alive
149,14,A,invaded,live,Churchill,3,3,2,0.17,0.72,1.79,2.905,4.49,6.73,9.96,8.17,3,0.1181,0.1173,0.1177,0.0219,0.0226,0.02225,0.13995,alive
150,7,B,uninvaded,live,Churchill,3,3,2,0.235,0.92,2.13,4.95,7.39,9.33,10.605,8.475,3,0.0908,0.091,0.0909,0.0216,0.0215,0.02155,0.11245,alive
151,9,A,invaded,sterile,airport,3,3,2,0.22,0.66,1.68,3.46,5.12,7.65,11.36,9.68,2,0.0605,0.0608,0.06065,0.0177,0.018,0.01785,0.0785,alive
152,6,B,uninvaded,sterile,Churchill,3,3,0,,0.68,1.32,2.25,3.5,6.22,7.99,6.67,4,0.0491,0.0489,0.049,0.0127,0.0135,0.0131,0.0621,alive
153,14,B,uninvaded,sterile,Churchill,3,3,0,,0.725,1.19,1.2,1.55,2.42,4.37,3.18,2,0.0088,0.0083,0.00855,0.0008,0.001,0.0009,0.00945,alive
154,17,B,uninvaded,sterile,CNSC,3,3,2,0.24,0.505,1.81,2.11,2.095,3.075,5.3,3.49,2,0.0208,0.0208,0.0208,0.0042,0.0045,0.00435,0.02515,alive
155,14,A,invaded,sterile,Churchill,3,3,0,,0.82,0.94,2.395,4.41,8.1,10.08,9.14,2,0.1366,0.1367,0.13665,0.0372,0.0368,0.037,0.17365,alive
156,15,A,invaded,live,Churchill,3,3,2,0.22,0.508,0.995,dead,,,,-0.995,,,,,,,,NA,dead
157,1,B,uninvaded,live,Churchill,3,3,0,,0.72,1.12,1.645,3.26,5.98,8.885,7.765,2,0.0638,0.0632,0.0635,0.0209,0.0205,0.0207,0.0842,alive
158,9,A,invaded,live,airport,3,3,0,,0.8,1.39,2.245,2.88,4.045,5.645,4.255,3,0.0355,0.0353,0.0354,0.0064,0.0064,0.0064,0.0418,alive
159,1,B,uninvaded,sterile,Churchill,3,3,0,,0.68,1.885,2.63,4.145,7.91,11.77,9.885,5,0.1359,0.1356,0.13575,0.0389,0.0391,0.039,0.17475,alive
160,18,A,invaded,live,CNSC,3,3,2,0.24,1.05,1.87,3.355,5.57,9.06,12.215,10.345,2,0.1053,0.1056,0.10545,0.0238,0.024,0.0239,0.12935,alive
161,11,B,uninvaded,live,airport,3,3,2,0.28,1.005,2.29,4.05,6.405,10.72,14.32,12.03,4,0.1552,0.1551,0.15515,0.0336,0.0337,0.03365,0.1888,alive
162,12,A,invaded,sterile,airport,3,3,0,,1.22,2.1,3.885,5.755,9.255,11.12,9.02,6,0.0737,0.0735,0.0736,0.0179,0.0177,0.0178,0.0914,alive
163,1,A,invaded,live,Churchill,3,3,2,0.24,0.82,2.09,3.54,5.32,8.38,9.5,7.41,1,0.033,0.0331,0.03305,0.0152,0.0152,0.0152,0.04825,alive
164,8,B,uninvaded,live,Churchill,3,3,0,,0.71,1.745,2.615,4.43,7.295,9.42,7.675,3,0.1016,0.1015,0.10155,0.0271,0.0273,0.0272,0.12875,alive
165,15,B,uninvaded,live,Churchill,3,3,2,0.22,0.835,1.515,3.6,6.15,8.8,12.515,11,3,0.1156,0.1159,0.11575,0.0359,0.0356,0.03575,0.1515,alive
166,8,A,invaded,sterile,Churchill,3,3,2,0.22,0.82,1.43,2.26,dead,,,-1.43,,,,,,,,NA,dead
167,12,B,uninvaded,sterile,airport,3,3,2,0.2,0.53,0.79,dead,,,,-0.79,,,,,,,,NA,dead
168,16,A,invaded,sterile,airport,3,3,2,0.205,0.51,0.97,1.8,2.695,5.725,8.595,7.625,3,0.0663,0.0659,0.0661,0.01,0.0098,0.0099,0.076,alive
169,10,A,invaded,sterile,airport,4,3,2,0.22,0.55,1.04,1.84,3.39,5.105,6.12,5.08,2,0.0121,0.0116,0.01185,0.0047,0.0046,0.00465,0.0165,alive
170,18,A,invaded,live,CNSC,4,3,0,,0.68,0.94,1.675,2.71,5.08,7.37,6.43,5,0.0519,0.0513,0.0516,0.0108,0.00109,0.005945,0.057545,alive
171,9,A,invaded,live,airport,4,3,0,,0.73,1.345,2.31,2.73,4.38,6.185,4.84,2,0.0252,0.0251,0.02515,0.008,0.0076,0.0078,0.03295,alive
172,1,B,uninvaded,sterile,Churchill,4,3,0,,0.86,1.89,3.255,5.585,9.595,13.6,11.71,2,0.1403,0.1401,0.1402,0.0363,0.0354,0.03585,0.17605,alive
