ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
105,17,A,invaded,live,CNSC,2,1,2,0.21,0.995,1.77,3.125,5.215,6.97,10.06,9.065,0.0731,0.0729,0.073,0.0224,0.0223,0.02235,0.09535,alive
106,1,B,uninvaded,sterile,Churchill,2,1,2,0.395,1.05,1.8,3.985,7.61,10.945,13.31,12.26,0.1891,0.1888,0.18895,0.0681,0.0681,0.0681,0.25705,alive
107,9,B,uninvaded,sterile,airport,2,1,2,0.34,0.855,1.625,3.86,6.305,8.46,10.345,9.49,0.1266,0.1264,0.1265,0.0426,0.042,0.0423,0.1688,alive
108,6,A,invaded,sterile,Churchill,2,1,2,0.29,0.425,1.075,2.485,5.075,7.905,9.425,9,0.0738,0.0737,0.07375,0.0282,0.0285,0.02835,0.1021,alive
109,12,A,invaded,live,airport,2,1,2,0.255,0.875,1.625,3.58,5.34,7.82,10.41,9.535,0.0874,0.0869,0.08715,0.0355,0.0349,0.0352,0.12235,alive
110,10,A,invaded,live,airport,2,1,2,0.315,1.355,1.795,3.42,5.6,8.15,10.08,8.725,0.0512,0.0506,0.0509,0.016,0.0157,0.01585,0.06675,alive
111,6,B,uninvaded,live,Churchill,2,1,2,0.225,0.54,1.16,2.56,4.435,6.855,8.925,8.385,0.067,0.0673,0.06715,0.0206,0.0207,0.02065,0.0878,alive
112,12,B,uninvaded,live,airport,2,1,2,0.2,0.75,1.68,3.33,5.37,7.655,9.335,8.585,0.1111,0.1106,0.11085,0.0425,0.0421,0.0423,0.15315,alive
113,13,B,uninvaded,sterile,airport,3,1,2,0.195,0.51,1.17,1.36,1.79,2.2,2.695,2.185,,,,,,,NA,dead
114,6,A,invaded,live,Churchill,3,1,2,0.27,0.86,1.52,2.195,2.825,4.53,6.05,5.19,0.0309,0.0307,0.0308,0.0109,0.0114,0.01115,0.04195,alive
115,8,B,uninvaded,sterile,Churchill,3,1,2,0.355,0.635,1.18,2.47,5.175,7.49,9.52,8.885,0.1036,0.1028,0.1032,0.0351,0.0347,0.0349,0.1381,alive
116,17,A,invaded,live,CNSC,3,1,2,0.335,1.32,1.74,3.775,6.235,9.17,13.13,11.81,0.1431,0.1426,0.14285,0.0472,0.0477,0.04745,0.1903,alive
117,7,B,uninvaded,sterile,Churchill,3,1,2,0.37,1.31,2.085,4.19,6.84,9.59,11.575,10.265,0.1407,0.1411,0.1409,0.054,0.0538,0.0539,0.1948,alive
118,16,B,uninvaded,sterile,airport,3,1,2,0.33,0.68,0.73,2.085,3.75,5.5,7.215,6.535,0.1407,0.1412,0.14095,0.0203,0.0195,0.0199,0.16085,alive
119,13,A,invaded,live,airport,3,1,2,0.265,0.865,1.61,2.99,5.295,7.485,9.665,8.8,0.0621,0.0623,0.0622,0.0199,0.0196,0.01975,0.08195,alive
120,10,A,invaded,sterile,airport,3,1,4,0.3,0.86,1.145,2.395,4.08,6.495,7.945,7.085,0.0435,0.0431,0.0433,0.0734,0.0735,0.07345,0.11675,alive
121,12,B,uninvaded,live,airport,3,1,0,0.395,1.1,1.7,2.145,3.37,5.34,7.16,6.06,0.142,0.1417,0.14185,0.102,0.099,0.1005,0.24235,alive
