ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
1,6,A,invaded,sterile,Churchill,1,2,4,0.6,2.22,3.29,7.255,11.53,17.48,24.475,22.255,0.1563,0.1559,0.1561,0.0228,0.0224,0.0226,0.1787,alive
2,1,B,uninvaded,sterile,Churchill,1,2,4,0.705,2.045,3.12,7.365,11.885,14.67,17.46,15.415,0.2192,0.2187,0.21895,0.0714,0.0715,0.07145,0.2904,alive
3,9,A,invaded,live,airport,1,2,2,0.21,0.81,1.88,3.255,6.075,8.925,13.2,12.39,0.0769,0.0767,0.0768,0.019,0.0196,0.0193,0.0961,alive
4,18,B,uninvaded,live,CNSC,1,2,2,0.27,0.83,1.805,2.905,5.985,8.79,12.295,11.465,0.0631,0.0625,0.0628,0.0159,0.016,0.01595,0.07875,alive
5,18,A,invaded,sterile,CNSC,1,2,0,,1.035,2.96,4.35,7.455,9.74,12.26,11.225,0.0362,0.0358,0.036,0.0104,0.0105,0.01045,0.04645,alive
6,16,A,invaded,sterile,airport,1,2,2,0.335,1.395,2.47,5.1,8.35,11.555,14.02,12.625,0.0805,0.0804,0.08045,0.0199,0.0206,0.02025,0.1007,alive
7,8,A,invaded,live,Churchill,1,2,2,0.32,1.195,2.295,5.07,7.59,12.23,17.14,15.945,0.1485,0.1492,0.14885,0.0284,0.0281,0.02825,0.1771,alive
8,8,B,uninvaded,live,Churchill,1,2,2,0.3,1.03,1.35,dead,,,,-1.03,,,,,,,NA,dead
9,14,B,uninvaded,live,Churchill,1,2,2,0.36,1.27,2.065,4.575,8.01,12.805,16.895,15.625,0.1385,0.1381,0.1383,0.0363,0.0364,0.03635,0.17465,alive
10,6,A,invaded,live,Churchill,1,2,2,0.32,0.65,1.84,3.675,5.335,9.19,13.34,12.69,0.0606,0.0602,0.0604,0.0121,0.013,0.01255,0.07295,alive
11,12,B,uninvaded,sterile,airport,1,2,2,0,1.24,2.37,3.955,6.05,9.72,13.74,12.5,0.0836,0.0835,0.08355,0.0211,0.0211,0.0211,0.10465,alive
12,7,A,invaded,sterile,Churchill,1,2,2,0.38,1.2,2.24,3.39,6.98,11.93,14.91,13.71,0.0789,0.0784,0.07865,0.0277,0.0275,0.0276,0.10625,alive
13,9,B,uninvaded,sterile,airport,1,2,0,,1.24,2.435,4.55,7.385,10.705,13.915,12.675,0.0829,0.0825,0.0827,0.0276,0.027,0.0273,0.11,alive
14,7,B,uninvaded,sterile,Churchill,1,2,2,0.4,1.265,2.37,4.89,7.705,11.36,15.685,14.42,0.1779,0.1776,0.17775,0.0415,0.0416,0.04155,0.2193,alive
15,6,B,uninvaded,live,Churchill,1,2,2,0.225,0.885,2.31,2.92,5.345,9.25,11.87,10.985,0.0196,0.0194,0.0195,0.0024,0.0023,0.00235,0.02185,alive
16,7,B,uninvaded,live,Churchill,1,2,2,0.18,1.56,3.175,5.545,8.875,11.93,15.24,13.68,0.1002,0.0999,0.10005,0.0314,0.031,0.0312,0.13125,alive
17,1,A,invaded,sterile,Churchill,1,2,2,0.23,0.89,1.42,2.145,dead,,,-0.89,,,,,,,NA,dead
18,17,B,uninvaded,sterile,CNSC,1,2,2,0.195,1.18,1.32,1.85,dead,,,-1.18,,,,,,,NA,dead
19,12,A,invaded,live,airport,1,2,0,,0.82,2.16,3.3,5.06,6.82,9.68,8.86,0.0266,0.0265,0.02655,0.0052,0.0053,0.00525,0.0318,alive
20,8,B,uninvaded,sterile,Churchill,1,2,2,0.24,1.02,2.24,5.115,8.575,12.375,15.54,14.52,0.1488,0.1486,0.1487,0.0478,0.0474,0.0476,0.1963,alive
21,10,B,uninvaded,sterile,airport,1,2,2,0.265,0.765,1.67,1.88,2.46,3.01,5.08,4.315,0.0029,0.0034,0.00315,0.001,0.0018,0.0014,0.00455,alive
22,9,B,uninvaded,live,airport,1,2,2,0.245,0.76,2.1,3.98,6.52,11.34,16.93,16.17,0.1142,0.1145,0.11435,0.0239,0.0238,0.02385,0.1382,alive
23,1,A,invaded,live,Churchill,1,2,2,0.16,0.84,2.55,3.18,3.44,5.615,9.53,8.69,0.0129,0.0127,0.0128,0.0023,0.0018,0.00205,0.01485,alive
24,11,B,uninvaded,live,airport,1,2,0,0.23,0.78,2.245,3.815,7.14,11.74,13.765,12.985,0.0933,0.0935,0.0934,0.0255,0.0254,0.02545,0.11885,alive
25,14,A,invaded,sterile,Churchill,1,2,2,0.265,0.85,1.22,1.62,dead,,,-0.85,,,,,,,NA,dead
26,15,A,invaded,live,Churchill,1,2,2,0.2,0.695,1.025,1.4,dead,,,-0.695,,,,,,,NA,dead
27,16,B,uninvaded,live,airport,1,2,2,0.275,0.78,1.145,2.56,4.315,7.04,10.09,9.31,0.0486,0.0482,0.0484,0.0109,0.0107,0.0108,0.0592,alive
28,13,B,uninvaded,sterile,airport,1,2,2,0.28,0.895,1.94,3.61,5.61,9.6,12.53,11.635,0.0915,0.0919,0.0917,0.0356,0.0338,0.0347,0.1264,alive
29,9,A,invaded,sterile,airport,1,2,2,0.4,1.32,1.555,2.385,5.69,8.96,12.725,11.405,0.1202,0.1204,0.1203,0.0526,0.0518,0.0522,0.1725,alive
30,15,A,invaded,sterile,Churchill,1,2,2,0.21,0.89,1.91,3.16,6.815,10.555,14.745,13.855,0.0911,0.0919,0.0915,0.0249,0.0249,0.0249,0.1164,alive
31,10,A,invaded,sterile,airport,1,2,2,0.245,0.71,2.12,3.545,6.36,10.21,14.03,13.32,0.0927,0.0928,0.09275,0.0256,0.0255,0.02555,0.1183,alive
32,13,A,invaded,sterile,airport,1,2,0,,0.785,1.54,2.295,3.58,5.835,7.31,6.525,0.0088,0.0084,0.0086,0.0015,0.0014,0.00145,0.01005,alive
33,17,A,invaded,live,CNSC,1,2,2,0.325,1.32,1.615,2.265,3.74,5.33,8.56,7.24,0.0125,0.0124,0.01245,0.002,0.0017,0.00185,0.0143,alive
34,6,B,uninvaded,sterile,Churchill,1,2,2,0.26,1.1,1.47,2.07,3.25,5.68,9.09,7.99,0.0172,0.0168,0.017,0.0043,0.0042,0.00425,0.02125,alive
35,14,B,uninvaded,sterile,Churchill,1,2,2,0.25,1.31,2.6,3.87,6.945,10.005,12.62,11.31,0.0847,0.0853,0.085,0.0226,0.0225,0.02255,0.10755,alive
36,15,B,uninvaded,sterile,Churchill,1,2,2,0.305,0.64,0.965,dead,,,,-0.64,,,,,,,NA,dead
