ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
37,7,A,invaded,live,Churchill,1,2,2,0.25,0.505,0.835,1.65,2.91,4.525,7.91,7.405,0.0147,0.0148,0.01475,0.0033,0.0039,0.0036,0.01835,alive
38,12,B,uninvaded,live,airport,1,2,0,,0.75,1.885,2.205,5.09,9.11,11.745,10.995,0.0462,0.0458,0.046,0.0099,0.01,0.00995,0.05595,alive
39,18,B,uninvaded,sterile,CNSC,1,2,2,0.37,1.53,1.66,3.57,7,10.94,14.455,12.925,0.1166,0.1159,0.11625,0.0272,0.0274,0.0273,0.14355,alive
40,8,A,invaded,sterile,Churchill,1,2,2,0.24,0.825,2.06,3.49,6.535,10.87,14.17,13.345,0.0921,0.0924,0.09225,0.0277,0.0278,0.02775,0.12,alive
41,17,B,uninvaded,live,CNSC,1,2,2,0.24,0.65,1.54,2.88,5.86,8.25,12.605,11.955,0.0918,0.0919,0.09185,0.0223,0.0216,0.02195,0.1138,alive
42,10,B,uninvaded,live,airport,1,2,0,,0.625,1.41,1.55,2.02,3.395,4.505,3.88,0.0118,0.0119,0.01185,0.0026,0.0024,0.0025,0.01435,alive
43,17,A,invaded,sterile,CNSC,1,2,2,0.18,0.86,1.145,dead,,,,-0.86,,,,,,,NA,dead
44,13,A,invaded,live,airport,1,2,2,0.17,0.805,1.72,2.81,4.59,7.84,11.14,10.335,0.0761,0.0763,0.0762,0.0218,0.0216,0.0217,0.0979,alive
45,11,B,uninvaded,sterile,airport,1,2,0,,0.99,1.265,2.08,3.11,5.71,9.895,8.905,0.0802,0.0799,0.08005,?,,,NA,dead
46,1,B,uninvaded,live,Churchill,1,2,2,0.15,0.56,1.02,1.695,1.8,3.86,5.355,4.795,0.0029,0.0031,0.003,0.001,0.0012,0.0011,0.0041,alive
47,13,B,uninvaded,live,airport,1,2,0,,0.795,1.1,2.045,2.62,3.955,5.87,5.075,0.0062,0.0059,0.00605,0.0009,0.0011,0.001,0.00705,alive
48,11,A,invaded,sterile,airport,1,2,0,,0.745,1.765,3.235,5.78,8.82,12.895,12.15,0.0369,0.0363,0.0366,0.01,0.0095,0.00975,0.04635,alive
49,18,A,invaded,live,CNSC,1,2,2,0.14,0.77,1.1,1.5,1.82,2.305,4.64,3.87,0.0018,0.0019,0.00185,0.0008,0.0007,0.00075,0.0026,alive
50,10,A,invaded,live,airport,1,2,2,0.14,0.525,1.035,1.61,2.87,5.185,7.89,7.365,0.0197,0.0192,0.01945,0.0056,0.0056,0.0056,0.02505,alive
51,16,B,uninvaded,sterile,airport,1,2,0,,0.74,1.66,dead,,,,-0.74,,,,,,,NA,dead
52,14,A,invaded,live,Churchill,1,2,2,0.19,1.26,1.645,2.56,4.76,8.07,12.52,11.26,0.0559,0.0566,0.05625,0.0172,0.0154,0.0163,0.07255,alive
53,16,A,invaded,live,airport,1,2,0,,0.625,1.21,2.48,4.975,6.655,9.81,9.185,0.0103,0.0101,0.0102,0.0019,0.0016,0.00175,0.01195,alive
54,12,A,invaded,sterile,airport,1,2,2,0.18,0.515,1.14,1.9,2.835,4.74,8.445,7.93,0.0226,0.0227,0.02265,0.0067,0.0062,0.00645,0.0291,alive
55,15,B,uninvaded,live,Churchill,1,2,2,0.23,0.56,1.05,dead,,,,-0.56,,,,,,,NA,dead
56,11,A,invaded,live,airport,1,2,0,,1.075,1.67,2.02,4.37,6.93,9.28,8.205,0.0283,0.0278,0.02805,0.0064,0.0065,0.00645,0.0345,alive
57,15,A,invaded,live,Churchill,2,2,0,,0.71,1.29,2.91,5,7.12,9.41,8.7,0.0508,0.0504,0.0506,0.0132,0.013,0.0131,0.0637,alive
58,16,A,invaded,live,airport,2,2,0,,0.73,1.395,2.635,4.59,7.13,10.82,10.09,0.0542,0.0543,0.05425,0.0117,0.0113,0.0115,0.06575,alive
59,13,A,invaded,live,airport,2,2,0,,0.6,1.03,dead,,,,-0.6,,,,,,,NA,dead
60,18,B,uninvaded,live,CNSC,2,2,2,0.22,0.765,dead,,,,,-0.765,,,,,,,NA,dead
61,9,B,uninvaded,sterile,airport,2,2,0,,0.715,1.27,1.725,2.16,dead,,-0.715,,,,,,,NA,dead
62,8,B,uninvaded,sterile,Churchill,2,2,,,0.74,1.2,1.51,2.215,2.93,4.99,4.25,0.0012,0.0009,0.00105,0.0007,0.0016,0.00115,0.0022,alive
63,11,B,uninvaded,sterile,airport,2,2,0,,0.505,0.93,dead,,,,-0.505,,,,,,,NA,dead
64,18,A,invaded,sterile,CNSC,2,2,0,,0.86,1.27,2.365,3.28,6.07,8.905,8.045,0.0571,0.0567,0.0569,0.0168,0.0165,0.01665,0.07355,alive
65,7,A,invaded,live,Churchill,2,2,2,0.17,1.06,1.3,1.44,dead,,,-1.06,,,,,,,NA,dead
66,14,B,uninvaded,live,Churchill,2,2,2,0.195,0.705,1.79,3,5.06,7.845,10.74,10.035,0.0421,0.042,0.04205,0.0142,0.014,0.0141,0.05615,alive
67,10,A,invaded,sterile,airport,2,2,2,0.18,0.675,1.29,2.77,4.76,8.18,11.72,11.045,0.0322,0.0319,0.03205,0.0087,0.0083,0.0085,0.04055,alive
68,9,A,invaded,live,airport,2,2,2,0.2,0.86,1.57,2,3.51,6.425,9.05,8.19,0.0308,0.0305,0.03065,0.0094,0.0102,0.0098,0.04045,alive
69,17,B,uninvaded,live,CNSC,2,2,2,0.24,0.71,1.495,2.08,2.98,3.81,4.38,3.67,0.0007,0.0008,0.00075,?,,,NA,dead
70,15,A,invaded,sterile,Churchill,2,2,2,0.24,0.55,0.895,1.2,2.44,4.645,5.02,4.47,0.0013,0.0009,0.0011,?,,,NA,dead
71,12,B,uninvaded,sterile,airport,2,2,0,,0.765,1.955,2.895,4.8,8.305,11.17,10.405,0.0421,0.0423,0.0422,0.0131,0.0135,0.0133,0.0555,alive
72,7,A,invaded,sterile,Churchill,2,2,2,0.31,0.77,1.44,2.43,4.61,8.485,10.72,9.95,0.0425,0.0419,0.0422,0.0106,0.0105,0.01055,0.05275,alive
73,11,A,invaded,sterile,airport,2,2,2,0.25,0.67,1.31,2.49,4.06,4.76,5.78,5.11,0.0006,0.0004,0.0005,0.0009,0.001,0.00095,0.00145,alive
74,15,B,uninvaded,live,Churchill,2,2,2,0.265,0.66,0.865,1.81,2.14,2.64,2.72,2.06,0.0001,0.0004,0.00025,0.0003,0.0005,0.0004,0.00065,alive
75,6,A,invaded,live,Churchill,2,2,0,,0.6,1.2,dead,,,,-0.6,,,,,,,NA,dead
76,16,B,uninvaded,live,airport,2,2,2,0.17,0.765,1.54,3.44,5.15,8.555,11.19,10.425,0.0405,0.0411,0.0408,0.011,0.0111,0.01105,0.05185,alive
77,7,B,uninvaded,live,Churchill,2,2,0,,0.65,0.865,1.46,1.66,,,-0.65,,,,,,,NA,dead
78,1,A,invaded,sterile,Churchill,2,2,2,0.195,0.77,1.27,2.855,4.59,7.935,10.73,9.96,0.0558,0.0555,0.05565,0.0141,0.0144,0.01425,0.0699,alive
79,13,A,invaded,sterile,airport,2,2,0,,0.595,0.765,1.23,1.625,,,-0.595,,,,,,,NA,dead
80,8,A,invaded,sterile,Churchill,2,2,0,,0.655,dead,,,,,-0.655,,,,,,,NA,dead
81,7,B,uninvaded,sterile,Churchill,2,2,0,,0.805,1.56,3.86,5.97,7.56,7.62,6.815,0.0834,0.0837,0.08355,0.0221,0.0219,0.022,0.10555,alive
82,16,B,uninvaded,sterile,airport,2,2,0,,0.805,1.335,2.22,3.655,4.355,5.3,4.495,0.0015,0.0011,0.0013,0.0008,0.001,0.0009,0.0022,alive
83,8,B,uninvaded,live,Churchill,2,2,0,,0.565,0.76,1.1,2.21,2.78,4.595,4.03,0.0012,0.0009,0.00105,0.0003,0.0004,0.00035,0.0014,alive
84,18,B,uninvaded,sterile,CNSC,2,2,0,,0.79,1.53,2.18,3.615,4.22,5.36,4.57,0.0015,0.0014,0.00145,0.0006,0.0005,0.00055,0.002,alive
85,14,A,invaded,live,Churchill,2,2,2,0.18,0.98,1.8,3.595,5.08,8.915,11.605,10.625,0.0377,0.0376,0.03765,0.0237,0.0235,0.0236,0.06125,alive
86,11,A,invaded,live,airport,2,2,0,,0.53,1.15,2.29,3.25,4.62,5.085,4.555,0.0023,0.0025,0.0024,0.0009,0.0005,0.0007,0.0031,alive
87,15,B,uninvaded,sterile,Churchill,2,2,2,0.295,0.66,0.88,1.405,1.81,3.58,6.33,5.67,0.0015,0.0014,0.00145,0.0016,0.0011,0.00135,0.0028,alive
88,10,B,uninvaded,live,airport,2,2,2,0.17,0.7,1.12,1.605,2.77,5.76,8.05,7.35,0.0134,0.0128,0.0131,0.0024,0.0023,0.00235,0.01545,alive
89,13,B,uninvaded,live,airport,2,2,0,,0.885,2.06,2.7,3.95,6.23,8.43,7.545,0.0126,0.0123,0.01245,0.0031,0.0034,0.00325,0.0157,alive
90,10,B,uninvaded,sterile,airport,2,2,0,,0.57,1.02,1.23,dead,,,-0.57,,,,,,,NA,dead
91,14,A,invaded,sterile,Churchill,2,2,0,,0.585,0.805,1.6,2.8,5.535,8.02,7.435,0.0047,0.0042,0.00445,0.0012,0.0009,0.00105,0.0055,alive
92,13,B,uninvaded,sterile,airport,2,2,2,0.19,0.65,1.06,2.35,4.04,7.8,11.525,10.875,0.0583,0.0579,0.0581,0.0192,0.02,0.0196,0.0777,alive
93,1,B,uninvaded,live,Churchill,2,2,0,,0.81,1.3,dead,,,,-0.81,,,,,,,NA,dead
94,16,A,invaded,sterile,airport,2,2,2,0.25,0.56,0.98,1.54,2.245,4.51,8.01,7.45,0.0211,0.0212,0.02115,0.0057,0.0066,0.00615,0.0273,alive
95,6,B,uninvaded,sterile,Churchill,2,2,2,0.17,0.73,1.435,2.65,4.29,8.49,11.66,10.93,0.0825,0.0823,0.0824,0.0313,0.0317,0.0315,0.1139,alive
96,18,A,invaded,live,CNSC,2,2,2,0.2,0.85,1.215,2.225,3.29,5.445,8.92,8.07,0.0252,0.0249,0.02505,0.0063,0.0054,0.00585,0.0309,alive
97,9,B,invaded,live,airport,2,2,2,0.18,0.74,0.94,dead,,,,-0.74,,,,,,,NA,dead
98,17,B,uninvaded,sterile,CNSC,2,2,2,0.16,0.91,1.32,dead,,,,-0.91,,,,,,,NA,dead
99,14,B,uninvaded,sterile,Churchill,2,2,0,,0.815,1.68,2.035,3.585,6.49,7.78,6.965,0.0389,0.0393,0.0391,0.0109,0.0108,0.01085,0.04995,alive
100,8,A,invaded,live,Churchill,2,2,0,,0.52,dead,,,,,-0.52,,,,,,,NA,dead
101,1,A,invaded,live,Churchill,2,2,0,,0.78,1.09,dead,,,,-0.78,,,,,,,NA,dead
102,12,A,invaded,sterile,airport,2,2,2,2.1,0.725,1.33,1.885,2.915,5.84,9.03,8.305,0.0165,0.0167,0.0166,0.0035,0.0034,0.00345,0.02005,alive
103,11,B,uninvaded,live,airport,2,2,2,2.15,0.7,1.23,1.42,dead,,,-0.7,,,,,,,NA,dead
104,17,A,invaded,sterile,CNSC,2,2,2,0.19,0.69,0.96,1.735,dead,,,-0.69,,,,,,,NA,dead
105,17,A,invaded,live,CNSC,2,2,2,0.22,0.87,1.215,2.745,5.54,9.98,15.38,14.51,0.1181,0.1179,0.118,0.0292,0.03,0.0296,0.1476,alive
106,1,B,uninvaded,sterile,Churchill,2,2,2,0.23,0.88,1.95,3.81,6.92,11.16,14.49,13.61,0.0922,0.0919,0.09205,0.0224,0.0241,0.02325,0.1153,alive
107,9,B,uninvaded,sterile,airport,2,2,2,0.18,0.665,0.965,1.32,1.525,3.72,6.42,5.755,0.0056,0.0054,0.0055,0.0012,0.0016,0.0014,0.0069,alive
108,6,A,invaded,sterile,Churchill,2,2,0,,0.65,1.1,dead,,,,-0.65,,,,,,,NA,dead
109,12,A,invaded,live,airport,2,2,2,0.24,0.715,1.235,dead,,,,-0.715,,,,,,,NA,dead
110,10,A,invaded,live,airport,2,2,0,,0.76,1.005,1.405,1.67,3.18,4.46,3.7,0.0029,0.003,0.00295,0.001,0.001,0.001,0.00395,alive
111,6,B,uninvaded,live,Churchill,2,2,0,,0.5,dead,,,,,-0.5,,,,,,,NA,dead
112,12,B,uninvaded,live,airport,2,2,2,0.24,0.91,1.35,2.3,4.075,6.79,9.23,8.32,0.0174,0.0169,0.01715,0.0049,0.0053,0.0051,0.02225,alive
113,13,B,uninvaded,sterile,airport,3,2,2,0.17,0.715,1.745,3.44,5.22,9.015,12.28,11.565,0.1137,0.1138,0.11375,0.0335,0.0333,0.0334,0.14715,alive
114,6,A,invaded,live,Churchill,3,2,2,0.135,0.81,1.335,1.855,dead,,,-0.81,,,,,,,NA,dead
115,8,B,uninvaded,sterile,Churchill,3,2,0,,0.98,1.54,3.15,6.815,9.645,13.555,12.575,0.139,0.1389,0.13895,0.0412,0.0392,0.0402,0.17915,alive
116,17,A,invaded,live,CNSC,3,2,0,,0.88,1.075,2.48,3.99,7.54,11.995,11.115,0.0532,0.0533,0.05325,0.015,0.0146,0.0148,0.06805,alive
117,7,B,uninvaded,sterile,Churchill,3,2,0,,1.02,1.335,2.79,6.25,9.995,15.07,14.05,0.0457,0.0453,0.0455,0.0108,0.0108,0.0108,0.0563,alive
118,16,B,uninvaded,sterile,airport,3,2,2,0.13,0.68,1.24,2.87,5.245,10.245,14.57,13.89,0.1179,0.1175,0.1177,0.0392,0.039,0.0391,0.1568,alive
119,13,A,invaded,live,airport,3,2,0,,0.72,1.35,2.295,3.48,4.695,5.465,4.745,0.0029,0.0034,0.00315,0.0017,0.001,0.00135,0.0045,alive
120,10,A,invaded,sterile,airport,3,2,2,0.18,0.74,1.035,1.755,3.885,8.32,10.8,10.06,0.0445,0.0441,0.0443,0.0122,0.0122,0.0122,0.0565,alive
121,12,B,uninvaded,live,airport,3,2,2,0.23,0.7,1.01,1.21,2.14,3.13,3.94,3.24,0.0018,0.0021,0.00195,0.0011,0.0008,0.00095,0.0029,alive
122,12,A,invaded,live,airport,3,2,2,0.24,0.855,1.99,4.165,8.64,13.35,17.91,17.055,0.1154,0.1151,0.11525,0.0238,0.0233,0.02355,0.1388,alive
123,9,B,uninvaded,live,airport,3,2,0,,0.85,2.01,4.04,6.69,9.53,11.86,11.01,0.0737,0.0731,0.0734,0.0241,0.0241,0.0241,0.0975,alive
124,18,A,invaded,sterile,CNSC,3,2,2,0.195,0.715,1.515,2.825,4.63,9.245,12.56,11.845,0.0542,0.0543,0.05425,0.0196,0.0197,0.01965,0.0739,alive
125,7,A,invaded,live,Churchill,3,2,0,,0.645,1.025,dead,,,,-0.645,,,,,,,NA,dead
126,18,B,uninvaded,sterile,CNSC,3,2,0,,1.06,2.22,3.505,5.98,6.99,8.37,7.31,0.0511,0.051,0.05105,0.0309,0.031,0.03095,0.082,alive
127,18,B,uninvaded,live,CNSC,3,2,2,0.2,0.71,1.075,1.455,3.77,6.605,10.22,9.51,0.0379,0.0375,0.0377,0.0101,0.0103,0.0102,0.0479,alive
128,16,A,invaded,live,airport,3,2,2,0.24,0.5,0.97,1.87,dead,,,-0.5,,,,,,,NA,dead
129,1,A,invaded,sterile,Churchill,3,2,2,0.2,0.74,1.365,2.79,5.15,9.325,13.27,12.53,0.0689,0.0693,0.0691,0.0286,0.0283,0.02845,0.09755,alive
130,11,A,invaded,sterile,airport,3,2,0,,0.995,1.735,3.19,5.69,8.5,12.98,11.985,0.0597,0.0595,0.0596,0.0186,0.0186,0.0186,0.0782,alive
131,10,B,uninvaded,live,airport,3,2,2,0.25,0.86,1.745,3.34,7.48,10.075,12.38,11.52,0.1141,0.1138,0.11395,0.0424,0.0419,0.04215,0.1561,alive
132,6,A,invaded,sterile,Churchill,3,2,0,,0.765,1.68,2.94,5.83,10.005,15.895,15.13,0.0697,0.0696,0.06965,0.0202,0.0199,0.02005,0.0897,alive
133,16,B,uninvaded,live,airport,3,2,0,,0.88,1.13,1.6,2.125,3.84,5.79,4.91,0.0089,0.0088,0.00885,0.002,0.0024,0.0022,0.01105,alive
134,8,A,invaded,live,Churchill,3,2,2,0.23,0.51,0.865,1.96,3,6.55,9.655,9.145,0.0341,0.0342,0.03415,0.0085,0.0084,0.00845,0.0426,alive
135,7,A,invaded,sterile,Churchill,3,2,2,0.16,0.635,1.38,3.38,5.94,8.08,12.275,11.64,0.0825,0.0828,0.08265,0.0238,0.0241,0.02395,0.1066,alive
136,13,B,uninvaded,live,airport,3,2,2,0.17,0.61,0.89,1.58,2.28,3.9,6.91,6.3,0.0089,0.009,0.00895,0.0029,0.0028,0.00285,0.0118,alive
137,13,A,invaded,sterile,airport,3,2,2,0.25,0.65,1.28,1.805,2.035,4.43,7.74,7.09,0.0068,0.0066,0.0067,0.0007,0.001,0.00085,0.00755,alive
138,11,B,uninvaded,sterile,airport,3,2,0,,0.5,1.2,1.89,3.39,5.55,9.265,8.765,0.0078,0.0083,0.00805,0.0012,0.001,0.0011,0.00915,alive
139,10,B,uninvaded,sterile,airport,3,2,2,0.18,0.72,1.06,dead,,,,-0.72,,,,,,,NA,dead
140,10,A,invaded,live,airport,3,2,0,,0.52,0.885,1.2,dead,,,-0.52,,,,,,,NA,dead
141,14,B,uninvaded,live,Churchill,3,2,0,,0.62,0.8,1.32,,,,-0.62,,,,,,,NA,dead
142,15,B,uninvaded,sterile,Churchill,3,2,0,,0.53,0.97,1.395,2.965,5.3,7.4,6.87,0.0141,0.0146,0.01435,0.0031,0.0034,0.00325,0.0176,alive
143,9,B,uninvaded,sterile,airport,3,2,2,0.23,0.56,1.25,dead,,,,-0.56,,,,,,,NA,dead
144,6,B,uninvaded,live,Churchill,3,2,0,,0.5,dead,,,,,-0.5,,,,,,,NA,dead
145,17,B,uninvaded,live,CNSC,3,2,0,,0.66,0.87,dead,,,,-0.66,,,,,,,NA,dead
146,17,A,invaded,sterile,CNSC,3,2,0,,0.61,0.87,1.08,2.21,4.025,6.74,6.13,0.0111,0.0108,0.01095,0.0021,0.0024,0.00225,0.0132,alive
147,15,A,invaded,sterile,Churchill,3,2,0,0.175,0.575,0.925,1.88,3.45,5.1,8.02,7.445,0.0122,0.0118,0.012,0.0038,0.004,0.0039,0.0159,alive
148,11,A,invaded,live,airport,3,2,2,0.29,0.66,1.485,2.58,4.57,7.44,10.49,9.83,0.1663,0.1661,0.1662,0.0623,0.0624,0.06235,0.22855,alive
149,14,A,invaded,live,Churchill,3,2,0,,0.65,0.93,dead,,,,-0.65,,,,,,,NA,dead
150,7,B,uninvaded,live,Churchill,3,2,2,0.17,0.79,1.195,2.255,4.3,8.15,12.025,11.235,0.0521,0.0518,0.05195,0.0164,0.0162,0.0163,0.06825,alive
151,9,A,invaded,sterile,airport,3,2,2,0.19,0.504,0.88,1.51,2.245,3.435,5.86,5.356,0.0137,0.0134,0.01355,0.0033,0.0027,0.003,0.01655,alive
152,6,B,uninvaded,sterile,Churchill,3,2,2,0.185,0.895,1.1,1.86,2.34,3.97,6.155,5.26,0.0104,0.0103,0.01035,0.0025,0.0024,0.00245,0.0128,alive
153,14,B,uninvaded,sterile,Churchill,3,2,0,1,1.06,1.43,3.1,6.34,8.355,9.83,8.77,0.0831,0.0835,0.0833,0.0277,0.0276,0.02765,0.11095,alive
154,17,B,uninvaded,sterile,CNSC,3,2,2,0.19,0.745,1.18,1.9,2.78,4.96,7.915,7.17,0.0159,0.0161,0.016,0.0033,0.0028,0.00305,0.01905,alive
155,14,A,invaded,sterile,Churchill,3,2,0,,1.05,2.01,3.46,6.535,8.445,10.455,9.405,0.0306,0.0301,0.03035,0.0108,0.0106,0.0107,0.04105,alive
156,15,A,invaded,live,Churchill,3,2,0,,0.69,0.78,1.175,2.175,2.59,3.38,2.69,0.0009,0.0011,0.001,0.0004,0.0003,0.00035,0.00135,alive
157,1,B,uninvaded,live,Churchill,3,2,0,,0.655,1.05,2.045,3.73,7.66,11.17,10.515,0.0284,0.0286,0.0285,0.0048,0.0044,0.0046,0.0331,alive
158,9,A,invaded,live,airport,3,2,2,0.19,1.08,1.26,1.77,2.31,4.74,6.81,5.73,0.0081,0.0078,0.00795,0.0015,0.0013,0.0014,0.00935,alive
159,1,B,uninvaded,sterile,Churchill,3,2,2,0.2,0.645,1.17,1.78,2.01,dead,,-0.645,,,,,,,NA,dead
160,18,A,invaded,live,CNSC,3,2,2,0.18,0.66,1.57,3.76,6.35,9.71,13.005,12.345,0.0552,0.0548,0.055,0.0138,0.0132,0.0135,0.0685,alive
161,11,B,uninvaded,live,airport,3,2,2,0.185,0.57,0.925,1.34,2.23,3.635,4.98,4.41,0.0046,0.0045,0.00455,0.0011,0.001,0.00105,0.0056,alive
162,12,A,invaded,sterile,airport,3,2,2,0.2,1.085,2.565,4.25,8.33,11.31,12.895,11.81,0.0737,0.0735,0.0736,0.0173,0.0171,0.0172,0.0908,alive
163,1,A,invaded,live,Churchill,3,2,0,,0.74,dead,,,,,-0.74,,,,,,,NA,dead
164,8,B,uninvaded,live,Churchill,3,2,0,,1.04,2.83,4.05,7.755,10.115,12.28,11.24,0.0464,0.0461,0.04625,0.0138,0.0141,0.01395,0.0602,alive
